t;v
5.53888250;0.00893872
5.54987930;0.00894317
5.56099590;0.00971866
5.57215070;0.01082074
5.58339750;0.01225894
5.59440310;0.01367927
5.60546810;0.01258837
5.61636710;0.01955794
5.62760360;0.01556887
5.63890330;0.01406824
5.64980810;0.00995043
5.66094200;0.00890709
5.67233170;0.00739939
5.68322940;0.00501356
5.69448910;0.00275844
5.70549990;-0.00220029
5.71671860;-0.00473539
5.72774280;-0.00785226
5.73892380;-0.00551707
5.75008580;-0.00692158
5.76110650;-0.01005618
5.77226190;-0.01436318
5.78329890;-0.01175782
5.79454710;-0.01204650
5.80572310;-0.01003919
5.81673820;-0.00937811
5.82789090;-0.00770548
5.83901860;-0.00456983
5.84997840;-0.00343046
5.86110540;-0.00187086
5.87243840;-0.00014303
5.88330640;0.00455937
5.89448770;-0.00618655
5.90557970;-0.00142225
5.91660130;-0.00383323
5.92795280;-0.00133514
5.93904020;-0.00189412
5.94990190;-0.00242594
5.96121490;-0.00234877
5.97245370;0.00022893
5.98344450;0.00076132
5.99603520;-0.00043861
6.00577530;0.00010742
6.01672950;-0.00063014
6.02791800;-0.00040733
6.03898440;-0.00250351
6.05010400;-0.00293120
6.06126250;-0.00380609
6.07229170;-0.00505376
6.08337530;-0.00666063
6.09462080;-0.00750537
6.10571560;-0.00725602
6.11675870;-0.00589098
6.12786420;-0.00609649
6.14033140;-0.00635519
6.15005640;-0.00686037
6.16110230;-0.01165720
6.17226390;-0.00759846
6.18340420;-0.00979492
6.19450750;-0.00505299
6.20567450;-0.00400680
6.21682830;-0.00304723
6.22791560;-0.00161975
6.23913680;-0.00328446
6.25020520;-0.00118257
6.26140150;-0.00225064
6.27250970;-0.00068776
6.28371350;0.00064934
6.29603460;0.00278077
6.30583190;0.00294166
6.31681450;0.00564089
6.32775620;0.00480201
6.33909830;0.00585958
6.35014690;0.00415343
6.36131710;0.00654531
6.37229620;0.00891771
6.38343010;0.01070012
6.39453880;0.01024498
6.40581180;0.00820619
6.41677580;0.01090622
6.42804750;0.01386658
6.43896720;0.02018135
6.45025390;0.01413029
6.46142440;0.02169831
6.47247030;0.01654982
6.48369920;0.02044746
6.49473380;0.02242493
6.50582980;0.01614459
6.51696800;0.03233209
6.52922320;0.02146326
6.53918250;0.03341921
6.55027820;0.03457647
6.56188380;0.03472625
6.57373620;0.03491605
6.58343490;0.03199261
6.59464550;0.03384092
6.60619070;0.03968929
6.61687980;0.04348413
6.62805520;0.04718168
6.63924990;0.04841570
6.65012770;0.05249299
6.66105370;0.04859735
6.67235170;0.05294316
6.68349340;0.06253693
6.69599970;0.06351886
6.70581520;0.06747940
6.71673900;0.06318595
6.72788130;0.07329515
6.73900890;0.07475214
6.75032740;0.08146347
6.76266600;0.08132294
6.77234790;0.08432684
6.78346650;0.10129794
6.79526720;0.09273387
6.80573600;0.10875552
6.81679080;0.10489587
6.82810220;0.11676810
6.83911150;0.12104675
6.85017920;0.12859802
6.86143260;0.14770641
6.87249560;0.15076879
6.88348230;0.16042198
6.89474660;0.16390395
6.90597050;0.17339270
6.91721010;0.18130400
6.92817850;0.18023367
6.93927590;0.19165388
6.95039150;0.19589189
6.96178200;0.19976545
6.97261730;0.19949741
6.98353770;0.20429967
6.99611290;0.21099276
7.00597540;0.20993144
7.01675920;0.21097871
7.02798800;0.21345694
7.03920220;0.21741936
7.05023840;0.22275138
7.06184660;0.20457348
7.07248130;0.23077133
7.08351880;0.22470193
7.09480710;0.22866674
7.10581910;0.19577808
7.11689050;0.24367342
7.12799710;0.24468482
7.13947690;0.23776466
7.15023160;0.24743702
7.16110110;0.25055883
7.17227960;0.25510234
7.18342870;0.26062662
7.19471610;0.25711215
7.20572170;0.26180798
7.21692450;0.26272181
7.22791020;0.27738622
7.23909760;0.28466015
7.25019220;0.28989452
7.26189590;0.29196509
7.27267790;0.28966402
7.28362340;0.30906216
7.29473030;0.30930329
7.30576140;0.31613411
7.31705520;0.33284403
7.32858090;0.31982008
7.33972530;0.35567360
7.35021560;0.33978984
7.36153450;0.36097690
7.37265200;0.36336199
7.38358980;0.42092188
7.39491210;0.39577958
7.40610090;0.40046183
7.41818870;0.42245074
7.42812530;0.42899780
7.43934250;0.42690545
7.45160840;0.44169293
7.46263610;0.44823850
7.47262070;0.45301573
7.48373080;0.46122046
7.49526620;0.49165514
7.50588690;0.49280535
7.51687630;0.50221148
7.52822190;0.51760784
7.53934100;0.51165957
7.55033670;0.54404897
7.56203960;0.54378651
7.57275100;0.55389959
